transaction_id,reason_code,merchant_category,user_account_age_days,prior_chargeback_count,transaction_amount,metadata_match,vlm_contradiction_found,historical_win
pay_8270978e8d3b43,fraud,electronics,826,0,25247.24,True,False,0
pay_eaae465def6347,damaged,electronics,830,0,19560.85,True,False,0
pay_d598c98d07df41,not_received,apparel,830,0,2922.69,True,False,0
pay_9d68342b266d4b,not_received,digital_services,307,0,1489.81,True,False,0
pay_a76ad3ab8cfe43,fraud,apparel,1177,0,2900.31,True,False,0
pay_cdc49f2af8504e,fraud,electronics,1123,0,28449.84,True,False,0
pay_fe998a68bdb04f,fraud,electronics,6,3,14799.87,False,True,1
pay_996022f036eb4f,damaged,electronics,1192,0,33953.25,True,False,0
pay_e1c4ba8e50a04f,not_received,electronics,1282,0,26342.52,True,False,0
pay_55c8296826fb49,not_received,electronics,468,0,27183.77,True,False,0
pay_f9745719902a48,fraud,digital_services,258,0,3095.71,True,False,0
pay_7469557f5cd846,damaged,apparel,1145,0,2495.89,True,False,0
pay_730a8019dead43,damaged,apparel,220,0,5296.77,True,True,1
pay_0579a45bad7646,fraud,electronics,1059,0,21909.4,True,False,0
pay_e0b04bece1ca49,fraud,electronics,8,6,25414.24,False,True,0
pay_70e2a9dcaa2141,fraud,apparel,414,0,2892.21,True,False,0
pay_dfaae077a4fa45,fraud,digital_services,66,0,2919.31,True,False,0
pay_96f2cee7f7164d,not_received,apparel,1011,0,3566.44,False,False,0
pay_b28eb234b9ae44,not_received,digital_services,431,1,1716.14,True,False,0
pay_00e518084cd640,fraud,digital_services,131,2,4564.12,True,False,0
pay_6a634d53c1eb49,not_received,electronics,122,0,27087.72,True,False,0
pay_e237d1e5c0e846,fraud,electronics,1439,0,22820.3,True,True,1
pay_a07d667877ef42,fraud,apparel,734,0,4508.23,False,False,0
pay_320e4a608ed343,fraud,apparel,867,0,3945.11,True,False,0
pay_0550235128f345,not_received,electronics,2,3,20901.28,False,True,0
pay_b46228b1f86b48,not_received,apparel,540,0,3832.94,True,False,0
pay_3328126add0345,fraud,apparel,696,0,3223.54,True,False,0
pay_f11934d618be45,not_received,digital_services,903,0,3196.13,True,False,0
pay_f3eee99a2aaf44,not_received,electronics,12,5,23494.18,False,True,1
pay_d8d3729eb78e46,fraud,electronics,424,0,16655.43,False,False,0
pay_86826255c7bc4e,not_received,apparel,34,0,3120.82,True,False,0
pay_e350e941b1bb45,fraud,apparel,368,0,999.75,True,False,0
pay_b4a283082c0848,fraud,apparel,139,0,2684.85,True,False,0
pay_1176d607434e46,damaged,digital_services,406,0,3571.77,True,False,0
pay_8f0f757969264c,damaged,apparel,606,0,2412.73,True,False,0
pay_8275206f22ec4c,damaged,apparel,1164,1,2720.08,False,False,0
pay_fc771d6e53ae4c,fraud,electronics,7,6,24521.79,False,True,0
pay_a013128610fb44,fraud,apparel,382,0,4672.19,False,False,0
pay_023186e3c5c849,not_received,apparel,403,0,2711.12,True,False,0
pay_6de30a695bb84b,not_received,digital_services,730,0,2461.32,False,False,0
pay_81ba6bdc34dc47,fraud,digital_services,1094,0,3571.52,True,False,0
pay_5c43b56e6b1844,not_received,apparel,996,0,1694.39,True,True,1
pay_c679d98e4a7a4c,fraud,apparel,11,6,2844.88,False,True,1
pay_aa7eb0fc6ec54d,damaged,electronics,1117,1,17632.31,False,False,0
pay_354eddcbaf764d,fraud,electronics,520,0,21893.63,True,False,0
pay_29850d2ee0a944,not_received,electronics,508,0,25379.36,True,False,0
pay_c2285d3aa8ae45,fraud,electronics,904,0,36252.43,True,False,0
pay_1fa5095a584a4e,not_received,apparel,1411,0,2181.86,True,False,0
pay_e1b6bbf1dc9641,not_received,electronics,138,0,20659.63,True,False,0
pay_adc461cece7f47,fraud,apparel,1248,0,2454.47,True,False,0
pay_3d77f332f5d34f,damaged,apparel,1352,0,2901.72,True,False,0
pay_c993e91b1f2a41,not_received,apparel,1040,0,3228.01,True,False,0
pay_771127bbdb4c44,damaged,apparel,260,0,3292.34,True,False,0
pay_cc78aecb9ce04a,damaged,electronics,589,0,21698.21,True,False,0
pay_af821894527a48,not_received,digital_services,241,0,4236.72,True,False,0
pay_e478d87d23ed4e,damaged,electronics,1428,0,22152.27,True,False,0
pay_eb7703c51a3749,fraud,digital_services,115,0,2247.04,True,False,0
pay_cf4825ae71584b,fraud,electronics,1336,0,25637.84,True,False,0
pay_142aa9870f354a,fraud,apparel,1260,0,2477.11,True,False,0
pay_c445b95b403c49,fraud,electronics,1335,0,31381.9,True,False,0
pay_f9dc6d9fd0dd4c,fraud,electronics,1324,0,26835.29,True,False,0
pay_6ae6ce55dd1947,fraud,apparel,1404,0,3355.9,True,False,0
pay_867094c39f6146,damaged,apparel,1451,0,2762.38,True,False,0
pay_4795f798b4e548,fraud,electronics,10,6,20687.15,False,True,1
pay_ecc5b97efa1044,fraud,apparel,893,2,3010.58,True,False,0
pay_f73ab102de4a4a,not_received,electronics,13,2,28260.01,False,True,0
pay_7c19f2a2035245,fraud,electronics,1085,0,26840.28,True,False,0
pay_2a9805bc411642,damaged,digital_services,363,0,3230.15,True,False,0
pay_997ef83f3dd749,fraud,digital_services,785,0,3816.19,True,True,1
pay_69e630a6a3714d,damaged,apparel,992,0,2769.88,True,True,1
pay_d1e3492c44f244,not_received,electronics,322,0,27459.83,True,True,1
pay_5b704adeb6ef44,fraud,electronics,8,3,23803.85,False,True,0
pay_68cba7bd235d4e,fraud,digital_services,371,0,3026.29,True,False,1
pay_654b8940a5ce49,damaged,electronics,8,6,22919.85,False,True,1
pay_e2fe49938b4c45,not_received,digital_services,915,0,2482.04,True,False,0
pay_d6679d80d22b4f,not_received,electronics,649,0,25148.46,True,False,0
pay_5972e95cc1ed4c,not_received,digital_services,4,4,3055.81,False,True,1
pay_0b4d0f43165b46,fraud,electronics,11,2,33157.89,False,True,0
pay_81d436dba33243,fraud,electronics,257,0,26730.46,False,True,0
pay_57eb5ee72f714c,fraud,apparel,1359,0,2797.17,False,False,0
pay_55a6bfdbe25146,damaged,digital_services,811,0,2540.43,True,False,0
pay_3899578224a74f,not_received,digital_services,1262,0,4055.78,True,False,0
pay_f09aee27bf3642,fraud,apparel,1306,0,1644.6,True,False,0
pay_11a4b46f37c849,fraud,apparel,12,5,2595.26,False,True,1
pay_1b9558baeb5b40,fraud,apparel,632,0,3817.35,False,False,0
pay_c9b99fe5529e44,fraud,apparel,285,0,2384.48,True,False,0
pay_1b3bd4acb8d744,not_received,digital_services,1174,0,3938.51,False,False,0
pay_333f8c19da024c,not_received,apparel,268,0,1518.74,False,False,0
pay_b340c9d6b6f249,damaged,apparel,750,0,5551.44,True,False,0
pay_ddf487600b7942,not_received,apparel,671,0,3747.61,True,False,0
pay_e92e6dafaae941,fraud,apparel,630,0,506.37,True,False,0
pay_42f3065dd9c74d,not_received,digital_services,357,1,4311.54,True,False,0
pay_feceaaa99ba14a,not_received,electronics,1319,1,23789.77,True,False,0
pay_480a677532d74a,not_received,electronics,1209,0,25905.45,True,False,0
pay_72a303fdbf2f4b,not_received,apparel,9,5,4774.05,False,True,1
pay_08eed72cfe8c46,not_received,electronics,399,0,27665.53,False,False,0
pay_9560e181e25a46,not_received,apparel,12,2,2723.78,False,False,0
pay_e2648a34bb9241,not_received,digital_services,1133,0,2432.34,True,False,0
pay_adc524fa0abf4e,fraud,apparel,2,2,4787.47,False,True,1
pay_2ecea19b8f1745,fraud,digital_services,1105,0,3147.02,True,False,0
pay_2db8798a70084d,fraud,electronics,606,0,33128.26,False,False,0
pay_69224a0f10704b,not_received,digital_services,11,4,3193.47,False,True,1
pay_621093ab48f04b,fraud,apparel,225,0,3017.67,True,False,0
pay_e31a1b3cd77747,not_received,electronics,3,5,25792.03,False,True,0
